Date,MaxTemp,AvgTemp,MinTemp
Dec-1-2019,45,42.7,39
Dec-2-2019,50,44.6,38
Dec-3-2019,52,48.3,45
Dec-4-2019,50,48.1,45
Dec-5-2019,51,46.9,45
Dec-6-2019,56,49.4,44
Dec-7-2019,50,49,47
Dec-8-2019,51,48.5,45
Dec-9-2019,46,43.9,40
Dec-10-2019,45,42.1,39
Dec-11-2019,49,46.4,45
Dec-12-2019,50,47.8,45
Dec-13-2019,49,46,44
Dec-14-2019,45,42.9,41
Dec-15-2019,43,40.6,39
Dec-16-2019,46,42.1,38
Dec-17-2019,46,41.5,37
Dec-18-2019,46,42.8,40
Dec-19-2019,53,47.3,42
Dec-20-2019,54,51.9,49
Dec-21-2019,52,45.5,43
Dec-22-2019,44,42.3,40
Dec-23-2019,44,41.9,39
Dec-24-2019,40,37.4,33
Dec-25-2019,44,39,35
Dec-26-2019,38,34.6,31
Dec-27-2019,44,41.9,37
Dec-28-2019,46,43.9,41
Dec-29-2019,51,46.1,41
Dec-30-2019,48,45.9,43
Dec-31-2019,53,49.1,46